73,627,34,841,624
117,665,0,780,274
191,566,374,878,718
71,625,48,843,666
57,634,201,895,716
200,635,630,781,716
186,569,307,849,719
192,566,393,881,718
94,649,0,822,403
95,650,0,818,404
47,606,336,924,716
103,639,1,794,296
78,630,1,827,545
37,760,572,906,718
64,630,103,885,719
74,628,24,840,597
54,618,246,900,716
146,620,1,797,422
48,610,321,912,717
56,633,217,893,718
167,601,58,822,690
92,651,1,830,403
164,611,16,818,567
98,649,2,808,387
144,624,1,801,420
123,652,1,813,296
34,781,658,921,718
69,624,77,852,714
127,658,0,832,311
170,594,98,818,714
105,639,1,784,297
131,656,1,812,313
50,616,295,908,717
85,644,1,823,499
155,612,2,804,531
62,643,127,888,717
143,625,1,802,416
36,762,594,915,719
101,645,1,799,342
165,607,26,820,608
87,651,0,825,447
142,627,2,804,407
124,654,2,820,297
152,610,0,802,468
141,635,1,806,384
171,591,107,817,715
190,571,359,873,719
43,625,425,936,714
118,658,1,782,283
44,619,406,933,714
49,611,307,910,716
133,653,1,811,316
197,567,535,868,718
40,750,543,892,718
76,629,1,831,543
45,613,389,930,713
99,647,2,801,368
51,618,273,904,716
66,632,97,872,718
53,621,256,902,715
168,597,69,821,711
72,626,42,844,652
109,637,1,774,294
174,582,120,815,716
163,608,17,818,569
59,638,165,894,715
112,645,2,770,280
160,614,3,808,566
90,652,1,828,411
106,635,0,782,296
201,636,646,780,718
38,752,555,899,718
135,658,1,810,315
182,567,234,834,716
111,643,0,769,276
151,609,1,801,443
104,636,1,789,296
139,644,1,810,358
147,621,2,796,420
154,609,1,802,516
108,640,0,777,296
136,656,1,813,315
128,653,1,828,312
194,566,458,889,719
159,612,0,809,567
181,565,204,828,718
150,612,2,801,419
65,629,109,886,719
172,589,111,812,719
39,744,521,883,718
120,655,0,787,288
52,612,266,904,717
188,568,330,858,718
180,568,191,826,717
96,650,1,814,401
58,635,190,890,717
153,609,3,803,487
61,644,144,887,715
75,626,10,835,545
169,594,75,821,717
156,611,1,808,550
63,638,115,884,718
187,569,312,855,719
166,605,44,821,674
119,656,2,785,285
83,643,0,825,528
134,656,1,812,314
140,637,1,808,378
67,625,87,866,719
138,646,0,811,360
60,643,157,888,715
33,794,693,930,717
132,652,2,809,317
122,648,1,806,294
176,577,139,813,718
55,627,228,896,719
173,591,119,813,719
185,575,279,841,719
102,643,3,795,327
178,574,165,817,719
80,634,3,827,543
110,640,0,771,288
70,627,67,849,706
88,654,1,825,427
195,561,485,882,718
114,651,0,774,279
198,563,585,837,718
100,646,2,800,358
82,636,2,825,537
161,613,6,810,565
89,654,2,829,411
184,571,266,839,718
202,651,697,765,719
121,656,1,794,289
115,666,0,778,274
193,565,414,883,718
113,644,1,770,276
125,654,2,824,302
148,614,2,797,420
86,650,0,825,488
157,611,0,808,561
145,619,3,799,421
126,656,1,831,309
81,636,1,827,541
137,651,1,814,326
46,608,372,930,713
41,665,485,946,716
91,649,1,828,406
175,579,135,814,718
177,578,146,815,719
42,648,464,941,714
189,569,313,856,718
116,664,1,778,274
199,585,602,803,717
77,630,0,829,546
68,629,83,857,717
35,767,608,922,717
97,650,0,812,395
196,558,511,877,719
107,637,1,780,293
84,645,1,824,516
149,614,2,797,423
158,614,2,808,564
179,570,176,823,717
130,658,1,816,315
79,633,0,828,546
93,650,2,827,404
183,568,250,836,717
162,613,16,816,566
129,659,1,827,315
